"title","price","rating","review_count"
"Analog Beige Dial Men's Watch-FS6071","11995.0","0.0","0"
"Gen 5E Smartwatch with AMOLED Screen, Wellness Features and Smartphone Notifications","18495.0","3.9","13391"
"Jesse Analog Rose Gold Dial Watch - ES3020","11994.0","4.2","413"
"SPYKART Smart Watch Charger for Fossil Gen 4 Explorist HR,Fossil Gen 4 Venture HR,Fossil Gen 5 Carlyle HR,Fossil Gen 5 Julianna HR,Fossil Gen 6,Fossil Sport Smart Watch & More,Smartwatch,USB,Black","349.0","4.3","19"
"Defender Analog Black Dial Men's Watch-FS5977","12778.0","4.3","74"
"Skyddshield Tempered Glass for Fossil Gen 6 (42mm/44mm) (Men/Women) with Easy Self Installation Kit | Black","257.0","5.0","1"
"Quartz Chronograph Silver Dial Leather Strap Watch for Men-NS90146SL01","9545.0","4.3","36"
"Men's Minimalist Zen Analog Black Watch: Sleek Leather Strap with Contrast Hands-NS1802SL11","3245.0","4.3","298"
"Men's Metropolitan Charm: Men's Multifunctional Black Watch with Leather Strap-NS1805SL04","6705.0","4.2","101"
"Neo Analog Blue Dial Men's Watch - NN1733KL03/NP1733KL03","5995.0","4.3","994"
"Mens Jewelry Gold Chain Bracelet Jf04570710","4547.0","0.0","0"
"Women Neutra Brown Quartz Leather Chronograph Watch Es5278, Dial-Color:Off-White, Band Color:Brown","11995.0","5.0","1"
"SEVAM Charger Compatible with Fossil Gen 4, Gen 5, Emporio Armani, Skagen falster 2, Misfit Vapor 2, Kate Spade, Michael Kors Runway - USB Charging Cable 3.3ft 100cm - Smartwatch Accessories(White)","389.0","4.2","24"
"Neutra Men's Chronograph Watch with Stainless Steel Bracelet or Genuine Leather Band","14494.0","4.2","1999"
"Womens Stainless Steel Jacqueline Analog Silver Dial Watch-Es5282, Band Color:Rose Gold","4998.0","4.5","6"
"Analog White Dial Women's Watch-ES4735","11995.0","4.6","266"
"Analog Gold Dial Women's Stainless Steel Watch-ES5338","9995.0","5.0","1"
"Womens Jewelry Gold Bracelet Jf04541710","4295.0","5.0","2"
"Fossil Neutra Minimalist Analog Blue Dial Men's Leather Watch-FS5903","8097.0","4.6","864"
"Fossil Women Stainless Steel Gabby Analog Rose Gold Dial Watch-Es5070, Band Color-Rose Gold","9995.0","4.3","88"
"BROP® Compatible with Fossil Gen 4/5 r, Fossil Smart Watch r Cable 3.2 Feet, Wireless Charging Dock for Emporio Armani,Michael Kors,Skagen,Diesel","293.0","0.0","0"
"Analog Green Dial Women's Watch-ES5366","11995.0","0.0","0"
"CARE CASE Gen 8 Rose Gold Daimond Edition Stainless Steel Women Bluetooth Calling Gift Smartwatch","1475.0","3.4","38"
"Analog Beige Dial Men's Watch-ME3264","21995.0","0.0","0"
"Womens Heritage Gold Bracelet Jf04759710","4995.0","0.0","0"
"Analog Green Dial Women's Watch-ES5371","14995.0","0.0","0"
"Fossil Women Stainless Steel Analog Pink Dial Watch-Es5337, Band Color-Multicolor","9995.0","5.0","1"
"POPIO Tempered Glass Screen Protector For Fossil Gen 6 42Mm / 44Mm (Men/Women), Michael Kors Gen 6 Bradshaw (Pack Of 2) for Smartwatch","299.0","4.0","2640"
